x,cohort,ex,period
0,2020,84.5,2020
1,2019,83.88,2020
2,2018,82.835,2020
3,2017,81.77,2020
4,2016,80.715,2020
5,2015,79.645,2020
6,2014,78.58,2020
7,2013,77.51,2020
8,2012,76.44,2020
9,2011,75.37,2020
10,2010,74.295,2020
11,2009,73.225,2020
12,2008,72.155,2020
13,2007,71.08,2020
14,2006,70.01,2020
15,2005,68.945,2020
16,2004,67.885,2020
17,2003,66.825,2020
18,2002,65.775,2020
19,2001,64.73,2020
20,2000,63.685,2020
21,1999,62.645,2020
22,1998,61.615,2020
23,1997,60.59,2020
24,1996,59.565,2020
25,1995,58.54,2020
26,1994,57.52,2020
27,1993,56.505,2020
28,1992,55.485,2020
29,1991,54.47,2020
30,1990,53.455,2020
31,1989,52.44,2020
32,1988,51.43,2020
33,1987,50.42,2020
34,1986,49.41,2020
35,1985,48.4,2020
36,1984,47.395,2020
37,1983,46.385,2020
38,1982,45.38,2020
39,1981,44.37,2020
40,1980,43.36,2020
41,1979,42.35,2020
42,1978,41.35,2020
43,1977,40.345,2020
44,1976,39.345,2020
45,1975,38.35,2020
46,1974,37.36,2020
47,1973,36.37,2020
48,1972,35.39,2020
49,1971,34.42,2020
50,1970,33.46,2020
51,1969,32.51,2020
52,1968,31.565,2020
53,1967,30.635,2020
54,1966,29.715,2020
55,1965,28.81,2020
56,1964,27.91,2020
57,1963,27.025,2020
58,1962,26.15,2020
59,1961,25.285,2020
60,1960,24.42,2020
61,1959,23.57,2020
62,1958,22.725,2020
63,1957,21.89,2020
64,1956,21.06,2020
65,1955,20.235,2020
66,1954,19.42,2020
67,1953,18.61,2020
68,1952,17.805,2020
69,1951,17.015,2020
70,1950,16.235,2020
71,1949,15.475,2020
72,1948,14.725,2020
73,1947,13.99,2020
74,1946,13.27,2020
75,1945,12.565,2020
76,1944,11.875,2020
77,1943,11.205,2020
78,1942,10.55,2020
79,1941,9.925,2020
80,1940,9.315,2020
81,1939,8.725,2020
82,1938,8.165,2020
83,1937,7.63,2020
84,1936,7.11,2020
85,1935,6.62,2020
86,1934,6.15,2020
87,1933,5.71,2020
88,1932,5.29,2020
89,1931,4.9,2020
90,1930,4.54,2020
91,1929,4.205,2020
92,1928,3.89,2020
93,1927,3.615,2020
94,1926,3.365,2020
95,1925,3.135,2020
96,1924,2.94,2020
97,1923,2.765,2020
98,1922,2.605,2020
99,1921,2.465,2020
100,1920,2.325,2020
101,1919,2.195,2020
102,1918,2.07,2020
103,1917,1.945,2020
104,1916,1.835,2020
105,1915,1.72,2020
106,1914,1.615,2020
107,1913,1.515,2020
108,1912,1.415,2020
109,1911,1.325,2020
110,1910,1.24,2020
111,1909,1.15,2020
112,1908,1.07,2020
113,1907,0.995,2020
114,1906,0.925,2020
115,1905,0.855,2020
116,1904,0.79,2020
117,1903,0.73,2020
118,1902,0.68,2020
119,1901,0.62,2020
