x,Mx_base_and_covid,Mx_base,Mx_covid_scaled
0,0.00573143934809671,0.00573,1.4393480967071e-06
1,0.000385664854852073,0.000384,1.6648548520729e-06
2,0.000247925692391446,0.000246,1.92569239144567e-06
3,0.000195227396089127,0.000193,2.22739608912729e-06
4,0.000151576368562237,0.000149,2.57636856223696e-06
5,0.000130980015544107,0.000128,2.98001554410721e-06
6,0.000116446903045351,0.000113,3.44690304535078e-06
7,0.000124986939137798,0.000121,3.98693913779835e-06
8,0.000116611584219042,0.000112,4.61158421904224e-06
9,0.000113334094219723,0.000108,5.33409421972345e-06
10,0.000124169801914795,0.000118,6.16980191479542e-06
11,0.000133168607322149,0.000126,7.16860732214874e-06
12,0.000153329105480021,0.000145,8.32910548002067e-06
13,0.000178677472203418,0.000169,9.6774722034176e-06
14,0.00022924412080896,0.000218,1.12441208089597e-05
15,0.000308064388107654,0.000295,1.30643881076539e-05
16,0.000413179331450388,0.000398,1.51793314503884e-05
17,0.000478636654804044,0.000461,1.7636654804044e-05
18,0.000670491784746492,0.00065,2.04917847464917e-05
19,0.000790809120650264,0.000767,2.38091206502643e-05
20,0.000854663487253637,0.000827,2.76634872536369e-05
21,0.000933779490522817,0.000903,3.0779490522817e-05
22,0.000987246479055877,0.000953,3.42464790558765e-05
23,0.00106010398768151,0.001022,3.81039876815105e-05
24,0.00111239600441446,0.00107,4.23960044144614e-05
25,0.00116917147206047,0.001122,4.71714720604745e-05
26,0.00120948484632182,0.001157,5.24848463218179e-05
27,0.00128339671676757,0.001225,5.83967167675694e-05
28,0.00134697449774973,0.001282,6.4974497749727e-05
29,0.00136029319714381,0.001288,7.22931971438125e-05
30,0.00139743627168009,0.001317,8.04362716800854e-05
31,0.0014801113994054,0.001391,8.9111399405397e-05
32,0.00156072214783364,0.001462,9.87221478336395e-05
33,0.0016373694245396,0.001528,0.000109369424539603
34,0.00169916502007514,0.001578,0.00012116502007514
35,0.0017532327817085,0.001619,0.000134232781708503
36,0.00182170991375257,0.001673,0.000148709913752571
37,0.00192774841813471,0.001763,0.000164748418134706
38,0.00194751669033342,0.001765,0.000182516690333421
39,0.00210720128743833,0.001905,0.000202201287438331
40,0.00222200888689703,0.001998,0.000224008886897025
41,0.00230358427306207,0.002051,0.000252584273062067
42,0.00244780483913846,0.002163,0.000284804839138462
43,0.00262013557749794,0.002299,0.000321135577497942
44,0.00277310079662586,0.002411,0.00036210079662586
45,0.00311329168769979,0.002705,0.000408291687699793
46,0.00336437485638837,0.002904,0.000460374856388372
47,0.00368110194299731,0.003162,0.000519101942997312
48,0.00391132046979617,0.003326,0.000585320469796165
49,0.00430998607206943,0.00365,0.000659986072069428
50,0.00478517628940488,0.004041,0.000744176289404881
51,0.00529613607485094,0.004467,0.000829136074850945
52,0.00572479539687968,0.004801,0.000923795396879682
53,0.00631026161480732,0.005281,0.00102926161480732
54,0.00691576851096473,0.005769,0.00114676851096472
55,0.00761169072393362,0.006334,0.00127769072393362
56,0.00818955982957072,0.006766,0.00142355982957072
57,0.0089850822579414,0.007399,0.0015860822579414
58,0.00965015925576173,0.007883,0.00176715925576173
59,0.0105439091278768,0.008575,0.00196890912787685
60,0.0114366920179646,0.009243,0.00219369201796461
61,0.0122369235607287,0.0098,0.00243692356072871
62,0.0131481240594406,0.010441,0.00270712405944055
63,0.0143232837701198,0.011316,0.00300728377011976
64,0.0154697245015194,0.012129,0.00334072450151939
65,0.0166791363769331,0.012968,0.00371113637693312
66,0.0176766186720672,0.013554,0.00412261867206721
67,0.0191487251809223,0.014569,0.00457972518092226
68,0.0208435146117398,0.015756,0.00508751461173984
69,0.0228676065707362,0.017216,0.00565160657073622
70,0.0248212437531842,0.018543,0.00627824375318417
71,0.0273019001978179,0.020228,0.00707390019781786
72,0.0300493920357199,0.022079,0.00797039203571994
73,0.0335564983709927,0.024576,0.00898049837099265
74,0.0371656178333469,0.027047,0.0101186178333469
75,0.0407559738243523,0.029355,0.0114009738243523
76,0.0447378457750224,0.031892,0.0128458457750224
77,0.0496268297112121,0.035153,0.0144738297112121
78,0.0551751318410738,0.038867,0.0163081318410738
79,0.0616458993495359,0.043271,0.0183748993495359
80,0.0683685931151353,0.047665,0.0207035931151353
81,0.0758016600976365,0.052665,0.0231366600976365
82,0.0849626588461078,0.059107,0.0258556588461078
83,0.0945291917954097,0.065635,0.0288941917954097
84,0.105370810307255,0.073081,0.032289810307255
85,0.117016478744415,0.080932,0.0360844787444151
86,0.130901093082494,0.090576,0.0403250930824943
87,0.146257060468478,0.101193,0.045064060468478
88,0.162029946888461,0.11167,0.0503599468884606
89,0.178602200948682,0.122324,0.0562782009486822
90,0.197624962714639,0.134733,0.0628919627146388
91,0.220664967604211,0.150382,0.0702829676042111
92,0.249047556505473,0.170505,0.0785425565054726
93,0.275910804602601,0.188138,0.0877728046026009
94,0.30932878286036,0.211241,0.0980877828603602
95,0.345594967757064,0.23598,0.109614967757064
96,0.379291816688043,0.256795,0.122496816688043
97,0.428291528509065,0.291399,0.136892528509065
98,0.461847010977169,0.308867,0.152980010977169
99,0.511626079403327,0.340668,0.170958079403326
100,0.556475913688703,0.365427,0.191048913688703
101,0.609993804109544,0.396493,0.213500804109544
102,0.664765219784137,0.426174,0.238591219784137
103,0.721553237743154,0.454923,0.266630237743154
104,0.781232374981151,0.483268,0.297964374981151
105,0.863936870847187,0.530956,0.332980870847187
106,0.878597472698003,0.506485,0.372112472698003
107,0.959176783956705,0.543334,0.415842783956705
108,1.06694424067032,0.602232,0.464712240670321
109,1.03407879042684,0.514754,0.519324790426841
110,1.17051335617237,0.590158,0.580355356172368
